s0_x,s0_y,s0_team,s0_exists,s1_x,s1_y,s1_team,s1_exists,s2_x,s2_y,s2_team,s2_exists,s3_x,s3_y,s3_team,s3_exists,s4_x,s4_y,s4_team,s4_exists,s5_x,s5_y,s5_team,s5_exists,stones_left,last_team,curl,speed,angle_rad
4,1207,46,1450,0,0000,1,0000,7,6441,54,8267,0,0000,1,0000,1,0577,46,2478,0,0000,1,0000,6,1745,71,2563,1,0000,1,0000,1,4955,64,8539,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,4020,23,5960,0,059764
2,7480,55,0948,0,0000,1,0000,11,4681,58,9506,0,0000,1,0000,5,4079,63,4714,0,0000,1,0000,1,6011,62,0793,1,0000,1,0000,1,2475,53,4125,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,0384,23,5960,0,006876
1,7509,49,0291,0,0000,1,0000,0,6442,56,2828,0,0000,1,0000,11,3278,56,9067,0,0000,1,0000,2,6221,63,9561,1,0000,1,0000,11,1677,63,2409,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,0182,23,5960,0,002644
2,5005,64,3256,0,0000,1,0000,4,2717,61,7489,0,0000,1,0000,1,4156,60,6374,0,0000,1,0000,6,4158,60,3493,1,0000,1,0000,2,8042,47,9806,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,2040,23,5960,0,028031
12,3985,65,3130,0,0000,1,0000,2,0506,68,9377,0,0000,1,0000,1,5237,49,0598,0,0000,1,0000,9,4583,52,7968,1,0000,1,0000,9,6216,48,7822,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,0061,23,5960,0,000567
7,5023,47,2947,0,0000,1,0000,12,1990,54,9958,0,0000,1,0000,9,9540,59,9156,0,0000,1,0000,5,5039,54,3658,1,0000,1,0000,8,6224,52,5927,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,8343,23,7576,−0,123231
1,5935,68,0327,0,0000,1,0000,4,4933,59,1226,0,0000,1,0000,13,6975,66,0800,0,0000,1,0000,10,3997,45,5107,1,0000,1,0000,5,2586,62,6078,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,0545,23,5960,0,008991
7,9888,53,4165,0,0000,1,0000,9,5042,65,8594,0,0000,1,0000,13,0688,68,5789,0,0000,1,0000,2,3286,64,1985,1,0000,1,0000,5,9477,70,5035,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,1636,23,5960,−0,024858
1,9846,60,3337,0,0000,1,0000,13,7480,61,8631,0,0000,1,0000,10,0440,68,7822,0,0000,1,0000,9,1496,59,5200,1,0000,1,0000,8,4658,58,7255,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,1147,23,5960,−0,012733
1,5754,58,7865,0,0000,1,0000,4,4011,49,2566,0,0000,1,0000,4,6500,66,2250,0,0000,1,0000,10,9480,71,4938,1,0000,1,0000,7,4322,59,4445,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,0303,25,8586,−0,035435
7,4048,56,1983,0,0000,1,0000,9,7236,49,9021,0,0000,1,0000,6,9593,70,7720,0,0000,1,0000,7,3537,68,5282,1,0000,1,0000,11,9486,52,8267,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,5434,23,1919,−0,075631
8,3440,47,0253,0,0000,1,0000,11,1425,48,9073,0,0000,1,0000,6,5861,66,4693,0,0000,1,0000,11,1301,61,1209,1,0000,1,0000,8,7146,61,3408,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,2485,25,5354,−0,023800
4,9002,58,1152,0,0000,1,0000,9,2809,51,3684,0,0000,1,0000,6,6116,51,9460,0,0000,1,0000,9,9347,69,3289,1,0000,1,0000,7,0600,62,3468,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,3293,23,2727,0,095729
10,9405,54,8736,0,0000,1,0000,6,6140,56,9276,0,0000,1,0000,8,7364,61,3350,0,0000,1,0000,11,4474,51,0677,1,0000,1,0000,12,2841,49,6898,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,7859,23,7576,−0,098902
7,1688,66,1438,0,0000,1,0000,12,2893,57,4722,0,0000,1,0000,1,1836,62,5958,0,0000,1,0000,7,4938,52,4938,1,0000,1,0000,5,0120,61,6116,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,5838,24,5657,0,048129
6,5188,55,9062,0,0000,1,0000,7,9987,63,6991,0,0000,1,0000,8,5065,68,4241,0,0000,1,0000,9,6761,56,0844,1,0000,1,0000,8,9495,61,3192,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,5030,23,5960,−0,071400
7,0063,57,0438,0,0000,1,0000,5,3813,53,7125,0,0000,1,0000,8,3875,52,9813,0,0000,1,0000,6,3563,65,1687,1,0000,1,0000,8,1438,63,6250,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,4828,23,5960,0,087266
0,9435,50,7982,0,0000,1,0000,2,0799,61,1900,0,0000,1,0000,10,3380,64,8087,0,0000,1,0000,5,1870,49,2167,1,0000,1,0000,8,5379,69,4164,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,0707,23,5960,−0,007933
7,2375,64,9292,0,0000,1,0000,0,9231,58,4235,0,0000,1,0000,6,2530,65,1651,0,0000,1,0000,13,4496,61,4827,1,0000,1,0000,2,7195,48,5860,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,0949,39,1111,−0,008991
6,8438,63,5438,0,0000,1,0000,7,3313,60,5375,0,0000,1,0000,7,4938,66,0625,0,0000,1,0000,3,8360,56,8609,1,0000,1,0000,2,4563,66,5500,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,0,1667,31,9192,−0,003702
7,2552,50,8825,0,0000,1,0000,1,2130,50,8254,0,0000,1,0000,3,3308,70,0177,0,0000,1,0000,4,9463,57,9872,1,0000,1,0000,0,7458,53,7176,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,3495,23,5960,0,047071
8,6313,55,4188,0,0000,1,0000,7,0027,55,5858,0,0000,1,0000,4,8938,66,1438,0,0000,1,0000,5,7875,62,8937,1,0000,1,0000,10,0938,55,9062,1,0000,1,0000,0,0000,0,0000,1,0000,−1,0000,1,0000,0,−0,0141,23,7576,−0,024858
